file_name ,stomata_count,,,,,,,
OAE_8_ab_1,,,,,,,,
OAE_8_ab_2,,,,,,,,
OAE_8_ab_3,,,,,,,,
OAE_8_ad_1,,,,,,,,
OAE_8_ad_2,,,,,,,,
OAE_8_ad_3,,,,,,,,
OAE_9_ab_1,134,,,,,,,
OAE_9_ab_2,133,,,,,,,
OAE_9_ab_3,96,,,,,,,
OAE_9_ad_1,103,,,,,,,
OAE_9_ad_2,122,,,,,,,
OAE_9_ad_3,92,,,,,,,
OPB_1_ab_1,,,,,,,,
OPB_1_ab_2,,,,,,,,
OPB_1_ab_3,,,,,,,,
OPB_1_ad_1,,,,,,,,
OPB_1_ad_2,,,,,,,,
OPB_1_ad_3,,,,,,,,
OPB_10_ab_1,,,,,,,,
OPB_10_ab_2,,,,,,,,
OPB_10_ab_3,,,,,,,,
OPB_10_ad_1,,,,,,,,
OPB_10_ad_2,,,,,,,,
OPB_10_ad_3,,,,,,,,
OPB_11_ab_1,,,,,,,,
OPB_11_ab_2,,,,,,,,
OPB_11_ab_3,,,,,,,,
OPB_11_ad_1,,,,,,,,
OPB_11_ad_2,,,,,,,,
OPB_11_ad_3,,,,,,,,
OPB_12_ab_1,,,,,,,,
OPB_12_ab_2,,,,,,,,
OPB_12_ab_3,,,,,,,,
OPB_12_ad_1,,,,,,,,
OPB_12_ad_2,,,,,,,,
OPB_12_ad_3,,,,,,,,
OPB_13_ab_1,,,,,,,,
OPB_13_ab_2,,,,,,,,
OPB_13_ab_3,,,,,,,,
OPB_13_ad_1,,,,,,,,
OPB_13_ad_2,,,,,,,,
OPB_13_ad_3,,,,,,,,
OPB_14_ab_1,,,,,,,,
OPB_14_ab_2,,,,,,,,
OPB_14_ab_3,,,,,,,,
OPB_14_ad_1,,,,,,,,
OPB_14_ad_2,,,,,,,,
OPB_14_ad_3,,,,,,,,
OPB_15_ab_1,,,,,,,,
OPB_15_ab_2,,,,,,,,
OPB_15_ab_3,,,,,,,,
OPB_15_ad_1,,,,,,,,
OPB_15_ad_2,,,,,,,,
OPB_15_ad_3,,,,,,,,
OPB_2_ab_1,,,,,,,,
OPB_2_ab_2,,,,,,,,
OPB_2_ab_3,,,,,,,,
OPB_2_ad_1,,,,,,,,
OPB_2_ad_2,,,,,,,,
OPB_2_ad_3,,,,,,,,
OPB_3_ab_1,,,,,,,,
OPB_3_ab_2,,,,,,,,
OPB_3_ab_3,,,,,,,,
OPB_3_ad_1,,,,,,,,
OPB_3_ad_2,,,,,,,,
OPB_3_ad_3,,,,,,,,
OPB_4_ab_1,,,,,,,,
OPB_4_ab_2,,,,,,,,
OPB_4_ab_3,,,,,,,,
OPB_4_ad_1,,,,,,,,
OPB_4_ad_2,,,,,,,,
OPB_4_ad_3,,,,,,,,
OPB_5_ab_1,,,,,,,,
OPB_5_ab_2,,,,,,,,
OPB_5_ab_3,,,,,,,,
OPB_5_ad_1,,,,,,,,
OPB_5_ad_2,,,,,,,,
OPB_5_ad_3,,,,,,,,
OPB_6_ab_1,,,,,,,,
OPB_6_ab_2,,,,,,,,
OPB_6_ab_3,,,,,,,,
OPB_6_ad_1,,,,,,,,
OPB_6_ad_2,,,,,,,,
OPB_6_ad_3,,,,,,,,
OPB_7_ab_1,,,,,,,,
OPB_7_ab_2,,,,,,,,
OPB_7_ab_3,,,,,,,,
OPB_7_ad_1,,,,,,,,
OPB_7_ad_2,,,,,,,,
OPB_7_ad_3,,,,,,,,
OPB_8_ab_1,,,,,,,,
OPB_8_ab_2,,,,,,,,
OPB_8_ab_3,,,,,,,,
OPB_8_ad_1,,,,,,,,
OPB_8_ad_2,,,,,,,,
OPB_8_ad_3,,,,,,,,
OPB_9_ab_1,,,,,,,,
OPB_9_ab_2,,,,,,,,
OPB_9_ab_3,,,,,,,,
OPB_9_ad_1,,,,,,,,
OPB_9_ad_2,,,,,,,,
OPB_9_ad_3,,,,,,,,
PGR_10_ab_1,,,,,,,,
PGR_10_ab_2,,,,,,,,
PGR_10_ab_3,,,,,,,,
PGR_10_ad_1,,,,,,,,
PGR_10_ad_2,,,,,,,,
PGR_10_ad_3,,,,,,,,
PGR_11_ab_1,,,,,,,,
PGR_11_ab_2,,,,,,,,
PGR_11_ab_3,,,,,,,,
PGR_11_ad_1,,,,,,,,
PGR_11_ad_2,,,,,,,,
PGR_11_ad_3,,,,,,,,
PGR_12_ab_1,,,,,,,,
PGR_12_ab_2,,,,,,,,
PGR_12_ab_3,,,,,,,,
PGR_12_ad_1,,,,,,,,
PGR_12_ad_2,,,,,,,,
PGR_12_ad_3,,,,,,,,
PGR_13_ab_1,,,,,,,,
PGR_13_ab_2,,,,,,,,
PGR_13_ab_3,,,,,,,,
PGR_13_ad_1,,,,,,,,
PGR_13_ad_2,,,,,,,,
PGR_13_ad_3,,,,,,,,
PGR_14_ab_1,,,,,,,,
PGR_14_ab_2,,,,,,,,
PGR_14_ab_3,,,,,,,,
PGR_14_ad_1,,,,,,,,
PGR_14_ad_2,,,,,,,,
PGR_14_ad_3,,,,,,,,
PGR_15_ab_1,,,,,,,,
PGR_15_ab_2,,,,,,,,
PGR_15_ab_3,,,,,,,,
PGR_15_ad_1,,,,,,,,
PGR_15_ad_2,,,,,,,,
PGR_15_ad_3,,,,,,,,
PGR_2_ab_1,,,,,,,,
PGR_2_ab_2,,,,,,,,
PGR_2_ab_3,,,,,,,,
PGR_2_ad_1,,,,,,,,
PGR_2_ad_2,,,,,,,,
PGR_2_ad_3,,,,,,,,
PGR_3_ab_1,,,,,,,,
PGR_3_ab_2,,,,,,,,
PGR_3_ab_3,,,,,,,,
PGR_3_ad_1,,,,,,,,
PGR_3_ad_2,,,,,,,,
PGR_3_ad_3,,,,,,,,
PGR_4_ab_1,,,,,,,,
PGR_4_ab_2,,,,,,,,
PGR_4_ab_3,,,,,,,,
PGR_4_ad_1,,,,,,,,
PGR_4_ad_2,,,,,,,,
PGR_4_ad_3,,,,,,,,
PGR_5_ab_1,,,,,,,,
PGR_5_ab_2,,,,,,,,
PGR_5_ab_3,,,,,,,,
PGR_5_ad_1,,,,,,,,
PGR_5_ad_2,,,,,,,,
PGR_5_ad_3,,,,,,,,
PGR_6_ab_1,,,,,,,,
PGR_6_ab_2,,,,,,,,
PGR_6_ab_3,,,,,,,,
PGR_6_ad_1,,,,,,,,
PGR_6_ad_2,,,,,,,,
PGR_6_ad_3,,,,,,,,
PGR_7_ab_1,,,,,,,,
PGR_7_ab_2,,,,,,,,
PGR_7_ab_3,,,,,,,,
PGR_7_ad_1,,,,,,,,
PGR_7_ad_2,,,,,,,,
PGR_7_ad_3,,,,,,,,
PGR_8_ab_1,,,,,,,,
PGR_8_ab_2,,,,,,,,
PGR_8_ab_3,,,,,,,,
PGR_8_ad_1,,,,,,,,
PGR_8_ad_2,,,,,,,,
PGR_8_ad_3,,,,,,,,
PGR_9_ab_1,,,,,,,,
PGR_9_ab_2,,,,,,,,
PGR_9_ab_3,,,,,,,,
PGR_9_ad_1,,,,,,,,
PGR_9_ad_2,,,,,,,,
PGR_9_ad_3,,,,,,,,
RGR_1_ab_1,,,,,,,,
RGR_1_ab_2,,,,,,,,
RGR_1_ab_3,,,,,,,,
RGR_1_ad_1,,,,,,,,
RGR_1_ad_2,,,,,,,,
RGR_1_ad_3,,,,,,,,
RGR_10_ab_1,,,,,,,,
RGR_10_ab_2,,,,,,,,
RGR_10_ab_3,,,,,,,,
RGR_10_ad_1,,,,,,,,
RGR_10_ad_2,,,,,,,,
RGR_10_ad_3,,,,,,,,
RGR_11_ab_1,,,,,,,,
RGR_11_ab_2,,,,,,,,
RGR_11_ab_3,,,,,,,,
RGR_11_ad_1,,,,,,,,
RGR_11_ad_2,,,,,,,,
