file_name,stomata_count,,Notes,,,,Scored by,
OPB_13_ab_2,171,,,,,,,
OPB_13_ab_3,136,,,,,,,
OPB_13_ad_1,323,,,,,,,
OPB_13_ad_2,331,,,,,,,
OPB_13_ad_3,259,,,,,,,
OPB_14_ab_1,106,,,,,,,
OPB_14_ab_2,205,,,,,,,
OPB_14_ab_3,126,,,,,,,
OPB_14_ad_1,183,,,,,,,
OPB_14_ad_2,151,,,,,,,
OPB_14_ad_3,121,,,,,,,
OPB_15_ab_1,158,,,,,,,
OPB_15_ab_2,184,,,,,,,
OPB_15_ab_3,190,,,,,,,
OPB_15_ad_1,231,,,,,,,
OPB_15_ad_2,307,,,,,,,
OPB_15_ad_3,282,,,,,,,
OPB_2_ab_1,201,,,,,,,
OPB_2_ab_2,,,,,,,,
OPB_2_ab_3,,,,,,,,
OPB_2_ad_1,175,,,,,,Katherine,
OPB_2_ad_2,,,,,,,,
OPB_2_ad_3,,,,,,,,
OPB_3_ab_1,172,,,,,,Katherine,
OPB_3_ab_2,,,,,,,,
OPB_3_ab_3,,,,,,,,
OPB_3_ad_1,256,,,,,,Katherine,
OPB_3_ad_2,,,,,,,,
OPB_3_ad_3,,,,,,,,
OPB_4_ab_1,158,,,,,,Katherine,
OPB_4_ab_2,,,,,,,,
OPB_4_ab_3,,,,,,,,
OPB_4_ad_1,116,,,,,,Katherine,
OPB_4_ad_2,,,,,,,,
OPB_4_ad_3,,,,,,,,
OPB_5_ab_1,188,,,,,,Katherine,
OPB_5_ab_2,,,,,,,,
OPB_5_ab_3,,,,,,,,
OPB_5_ad_1,228,,,,,,Katherine,
OPB_5_ad_2,,,,,,,,
OPB_5_ad_3,,,,,,,,
OPB_6_ab_1,168,,very blury in certain areas,,,,Katherine,
OPB_6_ab_2,,,,,,,,
OPB_6_ab_3,,,,,,,,
OPB_6_ad_1,307,,hard to tell bubbles from stomata,,,,Katherine,
OPB_6_ad_2,,,,,,,,
OPB_6_ad_3,,,,,,,,
OPB_7_ab_1,138,,,,,,Katherine,
OPB_7_ab_2,,,,,,,,
OPB_7_ab_3,,,,,,,,
OPB_7_ad_1,191,,,,,,Katherine,
OPB_7_ad_2,,,,,,,,
OPB_7_ad_3,,,,,,,,
OPB_8_ab_1,131,,,,,,,
OPB_8_ab_2,136,,,,,,,
OPB_8_ab_3,103,,,,,,,
OPB_8_ad_1,344,,,,,,,
OPB_8_ad_2,261,,,,,,,
OPB_8_ad_3,208,,,,,,,
OPB_9_ab_1,199,,,,,,,
OPB_9_ab_2,199,,,,,,,
OPB_9_ab_3,259,,,,,,,
OPB_9_ad_1,350,,,,,,,
OPB_9_ad_2,286,,,,,,,
OPB_9_ad_3,258,,,,,,,
PGR_10_ab_1,239,,bad quality picture,,,,,
PGR_10_ab_2,261,,,,,,,
PGR_10_ab_3,248,,,,,,,
PGR_10_ad_1,224,,,,,,,
PGR_10_ad_2,243,,,,,,,
PGR_10_ad_3,,,not in drive ,,,,,
PGR_11_ab_1,261,,,,,,,
PGR_11_ab_2,246,,,,,,,
PGR_11_ab_3,193,,,,,,,
PGR_11_ad_1,191,,,,,,,
PGR_11_ad_2,246,,,,,,,
PGR_11_ad_3,249,,,,,,,
PGR_12_ab_1,259,,,,,,,
PGR_12_ab_2,251,,,,,,,
PGR_12_ab_3,256,,,,,,,
