Leaf ID,Estimated start of necrosis,Full Necrosis,Notes,Notes,Disc
PGR Salt Plate 1,15-Apr,18-Apr,,,2
PGR Salt Plate 2,14-Apr,16-Apr,,,2
PGR Salt Plate 3,16-Apr,19-Apr,,,2
PGR Salt Plate 4,15-Apr,18-Apr,,,2
PGR Salt Plate 5,15-Apr,20-Apr,,,2
RGR Control Plate 1,19-Apr,24-Apr,,,2
RGR Control Plate 2,18-Apr,25-Apr,,,2
RGR Control Plate 3,,,,,2
RGR Control Plate 4,,,,,2
RGR Control Plate 5,n/a,n/a,,,2
RGR Salt Plate 1,15-Apr,18-Apr,,,2
RGR Salt Plate 2,14-Apr,18-Apr,,,2
RGR Salt Plate 3,14-Apr,17-Apr,,,2
RGR Salt Plate 4,17-Apr,19-Apr,,,2
RGR Salt Plate 5,16-Apr,20-Apr,,,2
SWB Control Plate 1,16-Apr,23-Apr,,,2
SWB Control Plate 2,19-Apr,23-Apr,,,2
SWB Control Plate 3,,,,,2
SWB Control Plate 4,,,,,2
SWB Control Plate 5,19-Apr,21-Apr,,,2
SWB Salt Plate 1,16-Apr,19-Apr,,,2
SWB Salt Plate 2,14-Apr,17-Apr,,,2
SWB Salt Plate 3,18-Apr,21-Apr,,,2
SWB Salt Plate 4,16-Apr,18-Apr,,,2
SWB Salt Plate 5,15-Apr,24-Apr,,,2
SWC Control Plate 1,16-Apr,18-Apr,,,2
SWC Control Plate 2,16-Apr,18-Apr,,,2
SWC Control Plate 3,,,,,2
SWC Control Plate 4,,,,,2
SWC Control Plate 5,17-Apr,19-Apr,,,2
SWC Salt Plate 1,15-Apr,18-Apr,,,2
SWC Salt Plate 2,16-Apr,18-Apr,,,2
SWC Salt Plate 3,15-Apr,19-Apr,,,2
SWC Salt Plate 4,15-Apr,18-Apr,,,2
SWC Salt Plate 5,13-Apr,15-Apr,,,2
TOR Control Plate 1,22-Apr,24-Apr,,,2
TOR Control Plate 2,19-Apr,26-Apr,,,2
TOR Control Plate 3,,,,,2
TOR Control Plate 4,,,,,2
TOR Control Plate 5,18-Apr,24-Apr,,,2
TOR Salt Plate 1,16-Apr,24-Apr,,,2
TOR Salt Plate 2,17-Apr,23-Apr,,,2
TOR Salt Plate 3,12-Apr,n/a,,,2
TOR Salt Plate 4,17-Apr,25-Apr,,,2
TOR Salt Plate 5,15-Apr,21-Apr,,,2
